id,name,marks_obtained,date,rank
GO001,"DM Topic Wise Test 1",,,
GO002,"DM Topic Wise Test 2",,,
GO003,"DM Topic Wise Test 3",,,
GO004,"DM Topic Wise Test 4",,,
GO005,"DM Topic Wise Test 5",,,
GO006,"DM Subject Wise Test 1",,,
GO007,"DM Subject Wise Test 2",,,
GO008,"DM Subject Wise Test 3",,,
GO009,"EM Topic Wise Test 1",,,
GO010,"EM Extra Linear Algebra Test",,,
GO011,"EM Topic Wise Test 2",,,
GO012,"EM Topic Wise Test 3",,,
GO013,"EM Topic Wise Test 4",,,
GO014,"EM Topic Wise Test 5",,,
GO015,"EM Subject Wise Test 1",,,
GO016,"EM Subject Wise Test 2",,,
GO017,"EM Subject Wise Test 3",,,
GO018,"DM & EM Full Length Test 1",,,
GO019,"DL Topic Wise Test 1",19.00,2025-10-06,44
GO020,"DL Topic Wise Test 2",16.33,2025-10-09,215
GO021,"DL Extra Combinatorics Test",,,
GO022,"DL Topic Wise Test 3",12.00,2025-10-12,437
GO023,"DL Subject Wise Test 1",29.33,2025-10-13,359
GO024,"DL Subject Wise Test 2",,,
GO025,"DL Subject Wise Test 3",,,
GO026,"DBMS Topic Wise Test 1",,,
GO027,"DBMS Topic Wise Test 2",,,
GO028,"DBMS Topic Wise Test 3",,,
GO029,"DBMS Topic Wise Test 4",,,
GO030,"DBMS Topic Wise Test 5",,,
GO031,"DBMS Subject Wise Test 1",,,
GO032,"DBMS Subject Wise Test 2",,,
GO033,"DBMS Subject Wise Test 3",,,
GO034,"C Programming Topic Wise Test 1",,,
GO035,"C Programming Topic Wise Test 2",,,
GO036,"C Programming Topic Wise Test 3",,,
GO037,"C Programming Subject Wise Test 1",,,
GO038,"C Programming Subject Wise Test 2",,,
GO039,"C Programming Subject Wise Test 3",,,
GO040,"TOC Topic Wise Test 1",17.67,2025-10-31,47
GO041,"TOC Topic Wise Test 2",,,
GO042,"TOC Topic Wise Test 3",,,
GO043,"TOC Topic Wise Test 4",,,
GO044,"TOC Topic Wise Test 5",,,
GO045,"TOC Subject Wise Test 1",,,
GO046,"TOC Subject Wise Test 2",,,
GO047,"TOC Subject Wise Test 3",,,
GO048,"CN Topic Wise Test 1",,,
GO049,"CN Topic Wise Test 2",,,
GO050,"CN Topic Wise Test 3",11.33,2025-11-18,168
GO051,"CN Topic Wise Test 4",0.00,2025-11-18,733
GO052,"CN Subject Wise Test 1",,,
GO053,"CN Subject Wise Test 2",,,
GO054,"CN Subject Wise Test 3",,,
GO055,"CD Topic Wise Test 1",,,
GO056,"CD Topic Wise Test 2",,,
GO057,"CD Topic Wise Test 3",,,
GO058,"CD Subject Wise Test 1",,,
GO059,"CD Subject Wise Test 2",,,
GO060,"CD Subject Wise Test 3",,,
GO061,"COA Topic Wise Test 1",19.00,2025-10-17,76
GO062,"COA Topic Wise Test 2",11.33,2025-10-21,335
GO063,"COA Topic Wise Test 3",16.00,2025-10-27,178
GO064,"COA Topic Wise Test 4",11.67,2025-10-28,344
GO065,"COA Subject Wise Test 1",28.75,2025-10-29,248
GO066,"COA Subject Wise Test 2",,,
GO067,"COA Subject Wise Test 3",,,
GO068,"CN, DBMS, TOC, CD Full Length Test 2",,,
GO069,"OS Topic Wise Test 1",20.00,2025-09-24,75
GO070,"OS Topic Wise Test 2",15.00,2025-09-27,173
GO071,"OS Topic Wise Test 3",11.33,2025-10-07,411
GO072,"OS Topic Wise Test 4",14.00,2025-10-08,325
GO073,"OS Subject Wise Test 1",30.00,2025-10-09,126
GO074,"OS Subject Wise Test 2",,,
GO075,"OS Subject Wise Test 3",,,
GO076,"OS, COA, DL Full Length Test 3",,,
GO077,"DS Topic Wise Test 1",,,
GO078,"DS Topic Wise Test 2",,,
GO079,"DS Topic Wise Test 3",,,
GO080,"DS Topic Wise Test 4",,,
GO081,"DS Topic Wise Test 5",,,
GO082,"DS Subject Wise Test 1",,,
GO083,"DS Subject Wise Test 2",,,
GO084,"DS Subject Wise Test 3",,,
GO085,"Algo Topic Wise Test 1",,,
GO086,"Algo Topic Wise Test 2",,,
GO087,"Algo Topic Wise Test 3",,,
GO088,"Algo Topic Wise Test 4",,,
GO089,"Algo Subject Wise Test 1",,,
GO090,"Algo Subject Wise Test 2",,,
GO091,"Algo Subject Wise Test 3",,,
GO092,"C, DS, Algo Full Length Test 4",,,
GO093,"GO Classes CS 2026 Mock Test 1",,,
GO094,"GO Classes CS 2026 Mock Test 2",,,
GO095,"GO Classes CS 2026 Mock Test 3",,,
GO096,"GO Classes CS 2026 Mock Test 4",,,
GO097,"GO Classes CS 2026 Mock Test 5",,,
GO098,"GO Classes CS 2026 Mock Test 6",,,
GO099,"GO Classes CS 2026 Mock Test 7",,,
GO100,"GO Classes CS 2026 Mock Test 8",,,
GO101,"GO Classes CS 2026 Mock Test 9",,,
GO102,"GO Classes CS 2026 Mock Test 10",,,
GO103,"GO Classes CS 2026 Mock Test 11",,,
GO104,"GO Classes CS 2026 Mock Test 12",,,
GO105,"GO Classes CS 2026 Mock Test 13",,,
GO106,"GO Classes CS 2026 Mock Test 14",,,
GO107,"GO Classes CS 2026 Mock Test 15",,,
GO108,"GO Classes CS 2026 Mock Test 16",,,
GO109,"GO Classes CS 2026 Mock Test 17",,,
GO110,"GO Classes CS 2026 Mock Test 18",,,
GO111,"GO Classes CS 2026 Mock Test 19",,,
GO112,"GO Classes CS 2026 Mock Test 20",,,
